First Name,Last Name,Unique User ID,Overall,S2: 2019-01-09 - 2019-05-31,S2: 2019-01-09 - 2019-05-31 - Assignments - Category Score,S2: 2019-01-09 - 2019-05-31 - Quizzes/Exams - Category Score,"ASCII Art =) (Max Pts: 100, Grading Category: Ungraded)","Blackjack (Max Pts: 100, Grading Category: Ungraded)","Caesar Cipher (Max Pts: 100, Grading Category: Ungraded)","Character Creation Save Load (Max Pts: 100, Grading Category: Ungraded)","Cloud computing (Max Pts: 5, Grading Category: Quizzes/Exams)","Competency Exam (Max Pts: 100, Grading Category: Ungraded)","Configuring your environment/Hello World (Max Pts: 5, Grading Category: Ungraded)","End of semester feedback quiz (Max Pts: 5, Grading Category: Ungraded)","Feedback Quiz (Max Pts: 5, Grading Category: Ungraded)","Feedback Quiz 2 (Max Pts: 5, Grading Category: Ungraded)","FInal Project (Max Pts: 100, Grading Category: Ungraded)","Google's hour of code (Max Pts: 25, Grading Category: Ungraded)","Guess the number (Max Pts: 100, Grading Category: Ungraded)","Halloween Kahoot Name (Max Pts: 100, Grading Category: Ungraded)","Hangman (Max Pts: 100, Grading Category: Ungraded)","Intro to C# Recap practice (Max Pts: 100, Grading Category: Ungraded)","LINQ problems for classmates (Max Pts: 100, Grading Category: Ungraded)","Mathematical operations using arrays (Max Pts: 100, Grading Category: Ungraded)","Palindrome (Max Pts: 100, Grading Category: Ungraded)","Quiz 1 (Max Pts: 5, Grading Category: Ungraded)","Quiz 10 (Max Pts: 100, Grading Category: Ungraded)","Quiz 11 (Max Pts: 5, Grading Category: Ungraded)","Quiz 2 (Max Pts: 5, Grading Category: Ungraded)","Quiz 3 (Max Pts: 5, Grading Category: Ungraded)","Quiz 4 (Max Pts: 5, Grading Category: Ungraded)","Quiz 5 (Max Pts: 5, Grading Category: Ungraded)","Quiz 6 (Max Pts: 5, Grading Category: Ungraded)","Quiz 7 (Max Pts: 5, Grading Category: Ungraded)","Quiz 8 (Max Pts: 5, Grading Category: Ungraded)","Quiz 9 (Max Pts: 5, Grading Category: Ungraded)","stringBits (Max Pts: 5, Grading Category: Quizzes/Exams)","stringSplosion (Max Pts: 5, Grading Category: Quizzes/Exams)","stringTimes (Max Pts: 5, Grading Category: Quizzes/Exams)","Tic-Tac-Toe (Max Pts: 100, Grading Category: Ungraded)","Abstraction and Inheritance (Max Pts: 50, Due Date: 1/15/19 2:50pm, Grading Category: Assignments)","Stack (Max Pts: 50, Due Date: 1/15/19 2:50pm, Grading Category: Assignments)","Creating a Deck of Cards (Max Pts: 50, Due Date: 1/25/19 11:55pm, Grading Category: Assignments)","Quiz 1 - Awareness quiz (Max Pts: 5, Due Date: 1/28/19 11:59pm, Grading Category: Quizzes/Exams)","What do you want to learn? (Max Pts: 5, Due Date: 2/01/19 11:59pm, Grading Category: Quizzes/Exams)","Quiz 2/7 (Max Pts: 5, Due Date: 2/07/19 1:00pm, Grading Category: Quizzes/Exams)","Queue Class (Max Pts: 50, Due Date: 2/08/19 11:59pm, Grading Category: Assignments)","Algorithm Practice Assignment (Max Pts: 50, Due Date: 2/15/19 11:59pm, Grading Category: Assignments)","Sudoku WIth Queue (Max Pts: 100, Due Date: 3/15/19 11:59pm, Grading Category: Assignments)",Username
,,,102.13,102.13,108.8,91.03,,,,,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,57,60,5,,5,60,50,,
,,,90.5,90.5,84.8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,50,52,0,5,,5,60,50,,
,,,106.78,106.78,112,98.08,,,,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,45,60,65,5,,5,60,50,,
,,,94.67,94.67,92.4,98.46,,,,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,50,58,63,5,5,5,60,0,,
,,,99.28,99.28,100,98.08,,,,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,50,50,50,5,5,,50,50,,
,,,82.28,82.28,72.8,98.08,,,,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,45,40,50,5,,5,47,0,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,58.92,58.92,36,97.12,,,,,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,0,40,50,5,,5,0,0,,
,,,102.67,102.67,105.2,98.46,,,,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,50,50,55,5,5,5,58,50,,
,,,101.5,101.5,102.4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,50,51,45,5,5,5,60,50,,
,,,90.17,90.17,85.2,98.46,,,,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,50,51,52,5,5,5,60,0,,
,,,36.78,36.78,0,98.08,,,,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,0,0,0,5,,5,0,0,,
,,,48.95,48.95,21.2,95.19,,,,,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,0,0,0,5,,5,53,0,,
,,,95.67,95.67,94,98.46,,,,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,50,50,55,5,5,5,50,30,,
,,,86.58,86.58,81.6,94.87,,,,,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,58,55,,5,5,50,0,,
,,,89.28,89.28,84,98.08,,,,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,50,60,0,,5,5,50,50,,
,,,79.17,79.17,67.6,98.46,,,,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,50,59,0,5,5,5,60,0,,
,,,98.53,98.53,98.8,98.08,,,,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,50,45,50,5,,5,52,50,,
